StartTime,Flgs,Proto,SrcAddr,DstAddr,State,Dur,SrcRate,DstRate,SrcPkts,DstPkts,SrcBytes,DstBytes,StdDev,attack
1526344121,e,arp,192.168.100.1,192.168.100.3,CON,1195.996582,0.000836,0.000836,2,2,120,120,2.00E-06,0
1526344223,e,tcp,192.168.100.7,192.168.100.4,CON,1453.945923,0.002751,0.002751,5,5,350,330,8.00E-06,0
1526344227,e,udp,192.168.100.149,27.124.125.250,CON,0.048565,0,0,1,1,90,90,0,0
1526344228,e,arp,192.168.100.4,192.168.100.7,CON,1454.080322,0.002751,0.002751,5,5,210,300,2.20E-05,0
1526344303,e,udp,192.168.100.27,192.168.100.1,CON,569.93396,0.001755,0.001755,2,2,174,456,0.08015,0
1526344303,e,arp,192.168.100.1,192.168.100.27,CON,0.000367,0,0,1,1,60,60,0,0
1526344308,e,arp,192.168.100.27,192.168.100.1,CON,569.855957,0.001755,0.001755,2,2,120,120,2.50E-05,0
1526344326,e,udp,192.168.100.150,192.168.217.2,INT,2.500101,0.399984,0,2,0,172,0,0,0
1526344328,e,udp,192.168.100.149,192.168.217.2,INT,2.501101,0.399824,0,2,0,172,0,0,0
1526344332,e,arp,192.168.100.150,192.168.100.1,CON,1152.256592,0.001736,0.001736,3,3,180,180,1.40E-05,0
1526344332,e,udp,192.168.100.7,192.168.100.255,INT,728.37085,0.004119,0,4,0,1086,0,1.60E-05,0
1526344333,e,udp,192.168.100.150,8.8.8.8,CON,0.007523,0,0,1,1,86,86,0,0
1526344331,e,udp,192.168.100.148,192.168.217.2,INT,2.501218,0.399805,0,2,0,172,0,0,0
1526344232,e,arp,192.168.100.149,192.168.100.1,CON,1253.63269,0.001595,0.001595,3,3,180,180,2.60E-05,0
1526344335,e,udp,192.168.100.149,8.8.8.8,CON,0.007698,0,0,1,1,86,86,0,0
1526344333,e,udp,192.168.100.147,192.168.217.2,INT,2.501009,0.399839,0,2,0,172,0,0,0
1526344336,e,arp,192.168.100.148,192.168.100.1,CON,1153.024658,0.001735,0.001735,3,3,180,180,5.00E-05,0
1526344337,e,udp,192.168.100.148,8.8.8.8,CON,0.007226,0,0,1,1,86,86,0,0
1526344338,e,arp,192.168.100.147,192.168.100.1,CON,1153.536621,0.001734,0.001734,3,3,180,180,1.90E-05,0
1526344338,e,udp,192.168.100.150,192.168.100.255,INT,0.01005,99.502487,0,2,0,120,0,0,0
1526344338,e,udp,192.168.100.150,192.168.100.255,INT,0.010045,99.55201,0,2,0,120,0,0,0
1526344338,e,udp,fe80::250:56ff:febe:254,ff02::1,INT,0.010024,99.760574,0,2,0,156,0,0,0
1526344338,e,udp,fe80::250:56ff:febe:254,ff02::1,INT,0.010023,99.770531,0,2,0,156,0,0,0
1526344339,e,udp,192.168.100.147,8.8.8.8,CON,0.007666,0,0,1,1,86,86,0,0
1526344339,e,udp,192.168.100.150,255.255.255.255,INT,0,0,0,1,0,60,0,0,0
1526344340,e,udp,192.168.100.150,255.255.255.255,INT,0,0,0,1,0,79,0,0,0
1526344350,e,udp,192.168.100.150,192.168.217.2,INT,2.500902,0.399856,0,2,0,172,0,0,0
1526344351,e,udp,192.168.100.149,192.168.217.2,INT,2.500109,0.399983,0,2,0,172,0,0,0
1526344354,e,udp,192.168.100.148,192.168.217.2,INT,2.501172,0.399813,0,2,0,172,0,0,0
1526344356,e,udp,192.168.100.150,8.8.8.8,CON,0.00725,0,0,1,1,86,86,0,0
1526344358,e,udp,192.168.100.149,8.8.8.8,CON,0.007168,0,0,1,1,86,86,0,0
1526344356,e,udp,192.168.100.147,192.168.217.2,INT,2.500985,0.399842,0,2,0,172,0,0,0
1526344360,e,udp,192.168.100.148,8.8.8.8,CON,0.00743,0,0,1,1,86,86,0,0
1526344362,e,udp,192.168.100.147,8.8.8.8,CON,0.00745,0,0,1,1,86,86,0,0
1526344032,e,udp,192.168.100.46,192.168.100.5,INT,1685.706909,17.633553,0,29726,0,28543568,0,0.231518,0
1526344032,e,tcp,192.168.100.46,192.168.100.5,CON,1685.706909,17.889231,0,30157,0,28898696,0,0.231582,0
1526344032,e,tcp,192.168.100.6,192.168.100.3,CON,1686.122192,5.963387,0,10056,0,2976576,0,0.230037,0
1526344032,e,udp,192.168.100.7,192.168.100.3,INT,1685.973267,9.682835,0,16326,0,979560,0,0.231947,0
1526344032,e,tcp,192.168.100.5,192.168.100.3,CON,1685.80896,10.932437,0,18431,0,17131488,0,0.235357,0
1526344033,e,tcp,192.168.100.3,13.55.154.73,CON,1679.588989,0.897839,0.897839,1509,1509,583321,99594,1.272364,0
1526344032,e &,tcp,192.168.100.3,192.168.100.55,CON,1685.706909,17.634146,17.633553,29727,29726,28717341,32167195,0.228494,0
1526344032,e,udp,192.168.100.46,192.168.100.5,CON,1685.706909,17.633553,17.633553,29726,29726,30347258,28766863,0.231615,0
1526344599,e,udp,192.168.100.3,184.85.248.65,CON,0.215891,0,0,1,1,98,235,0,0
1526344599,e,udp,192.168.100.3,205.251.194.167,CON,0.27849,0,0,1,1,98,268,0,0
1526344600,e,udp,192.168.100.3,192.5.5.241,CON,0.031651,0,0,1,1,82,1213,0,0
1526344600,e,udp,192.168.100.3,192.5.5.241,CON,0.031568,0,0,1,1,70,1139,0,0
1526344600,e,udp,192.168.100.3,192.35.51.30,CON,0.164368,0,0,1,1,82,803,0,0
1526344600,e,udp,192.168.100.3,205.251.195.97,CON,0.291631,0,0,1,1,93,230,0,0
1526344600,e,udp,192.168.100.3,205.251.196.236,CON,0.009295,0,0,1,1,93,326,0,0
1526344601,e,udp,192.168.100.3,199.7.91.13,CON,0.016084,0,0,1,1,81,1209,0,0
1526344601,e,udp,192.168.100.3,192.12.94.30,CON,0.16424,0,0,1,1,81,802,0,0
1526344601,e,tcp,192.168.100.3,52.35.35.13,FIN,61.740784,0.275345,0.210558,18,14,2361,4328,0.331883,0
1526344718,e,udp,192.168.100.6,192.168.100.255,INT,900.022827,0.001111,0,2,0,500,0,0,0
1526344815,e,udp,192.168.100.3,216.239.38.10,CON,0.180337,0,0,1,1,98,103,0,0
1526344815,e,udp,192.168.100.3,199.7.83.42,CON,0.015493,0,0,1,1,85,1216,0,0
1526344815,e,udp,192.168.100.3,199.7.83.42,CON,0.01513,0,0,1,1,70,1331,0,0
1526344815,e,udp,192.168.100.3,192.42.93.30,CON,0.164297,0,0,1,1,85,806,0,0
1526344815,e,tcp,192.168.100.3,172.217.25.170,FIN,171.097824,0.116892,0.105203,21,19,2996,4435,0.13648,0
1526344875,e,udp,fe80::250:56ff:febe:26db,ff02::fb,INT,0,0,0,1,0,107,0,0,0
